epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1493.73,0.45757,0.89891,0.8895,0.92089,0.91382,0.95101,0.88434,0.33702,0.40442,0.81712,0.00333191,0.00333191,0.00333191
2,2954.58,0.49561,0.50798,0.89078,0.9122,0.9443,0.97216,0.90234,0.35405,0.37204,0.82789,0.00653327,0.00653327,0.00653327
3,4410.4,0.55107,0.55138,0.90931,0.92435,0.90978,0.95767,0.88365,0.38245,0.43996,0.84327,0.00960264,0.00960264,0.00960264
4,5863.89,0.56404,0.54789,0.91798,0.96471,0.95166,0.98259,0.90945,0.36431,0.34277,0.83591,0.009406,0.009406,0.009406
5,7317.73,0.51841,0.46912,0.90263,0.9702,0.95366,0.98241,0.92257,0.33854,0.31212,0.82542,0.009208,0.009208,0.009208
6,8771.53,0.48735,0.4156,0.88829,0.98216,0.98068,0.99169,0.94045,0.30996,0.27013,0.81562,0.00901,0.00901,0.00901
7,10224.3,0.46674,0.38508,0.8801,0.98501,0.97403,0.99248,0.94719,0.29916,0.24413,0.81729,0.008812,0.008812,0.008812
8,11677.8,0.44845,0.36059,0.873,0.98885,0.98955,0.99408,0.95513,0.2799,0.22039,0.80392,0.008614,0.008614,0.008614
9,13131.1,0.43481,0.3426,0.86802,0.98885,0.98823,0.99264,0.95778,0.26778,0.20504,0.79726,0.008416,0.008416,0.008416
10,14584.5,0.41911,0.32514,0.86246,0.99116,0.99264,0.99409,0.96237,0.25907,0.19977,0.7929,0.008218,0.008218,0.008218
11,16039.6,0.4103,0.31415,0.8573,0.99502,0.99398,0.99446,0.96522,0.25061,0.18743,0.79146,0.00802,0.00802,0.00802
12,17495.5,0.39776,0.30145,0.85279,0.99383,0.99314,0.99451,0.96863,0.24296,0.18255,0.78911,0.007822,0.007822,0.007822
13,18951.9,0.38964,0.2931,0.84965,0.99608,0.99456,0.99428,0.97149,0.23587,0.17619,0.78303,0.007624,0.007624,0.007624
14,20407.3,0.37963,0.28381,0.84521,0.9948,0.99536,0.99465,0.97266,0.22747,0.17139,0.78186,0.007426,0.007426,0.007426
