epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.95,0.67339,2.02329,0.91897,0.73511,0.79037,0.78539,0.68957,0.47416,0.80454,0.84766,0.00333191,0.00333191,0.00333191
2,1203.86,0.64428,1.21856,0.89934,0.77679,0.84991,0.84915,0.74953,0.47315,0.66393,0.84316,0.00653327,0.00653327,0.00653327
3,1799.95,0.67183,1.02756,0.90921,0.82397,0.8224,0.84847,0.74412,0.4804,0.67852,0.85288,0.00960264,0.00960264,0.00960264
4,2330.84,0.6682,0.86733,0.9113,0.86947,0.84399,0.89196,0.79656,0.45175,0.57528,0.84451,0.009406,0.009406,0.009406
5,2835.06,0.62382,0.73462,0.90211,0.89149,0.87867,0.92379,0.82277,0.42797,0.49839,0.83405,0.009208,0.009208,0.009208
6,3327.51,0.59527,0.65704,0.88997,0.94382,0.87411,0.94216,0.85386,0.41064,0.43759,0.82924,0.00901,0.00901,0.00901
7,3832.48,0.57242,0.60365,0.8853,0.92701,0.91387,0.95786,0.87464,0.38724,0.40333,0.82676,0.008812,0.008812,0.008812
8,4354.02,0.5573,0.56751,0.88084,0.92785,0.91892,0.95455,0.87521,0.38112,0.38309,0.82245,0.008614,0.008614,0.008614
9,4868.34,0.54389,0.5376,0.87756,0.94881,0.92737,0.96846,0.8944,0.36143,0.34863,0.81855,0.008416,0.008416,0.008416
10,5388.1,0.5288,0.50728,0.87329,0.96023,0.9242,0.9759,0.90481,0.35919,0.34093,0.81432,0.008218,0.008218,0.008218
11,5926.85,0.52138,0.48933,0.87049,0.97071,0.95524,0.98325,0.91402,0.34521,0.30061,0.81056,0.00802,0.00802,0.00802
12,6452.63,0.51132,0.46932,0.8664,0.97778,0.94473,0.981,0.91401,0.33677,0.29137,0.80628,0.007822,0.007822,0.007822
13,6972.52,0.5013,0.45378,0.86268,0.9726,0.96384,0.98629,0.92192,0.33183,0.28439,0.80635,0.007624,0.007624,0.007624
14,7491.24,0.49329,0.43758,0.8606,0.97607,0.96639,0.9878,0.92624,0.32696,0.27152,0.8049,0.007426,0.007426,0.007426
15,7997.78,0.48867,0.42804,0.86028,0.97766,0.96563,0.98894,0.92904,0.31999,0.26343,0.80382,0.007228,0.007228,0.007228
16,8522.56,0.48494,0.41953,0.85775,0.97901,0.9709,0.98997,0.93572,0.31303,0.25485,0.80083,0.00703,0.00703,0.00703
17,9045.11,0.4745,0.40815,0.85419,0.98547,0.96978,0.99149,0.93669,0.30705,0.24397,0.80073,0.006832,0.006832,0.006832
