epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1111.54,0.99148,1.09259,1.12248,0.9079,0.89579,0.9476,0.71791,0.90485,0.54958,1.036,0.000151602,0.000151602,0.000151602
2,2194.55,0.89632,0.65089,1.10409,0.95397,0.95353,0.98539,0.82793,0.66593,0.38897,0.92386,0.000293261,0.000293261,0.000293261
3,3268.63,0.84659,0.58205,1.07797,0.96498,0.95475,0.98611,0.84194,0.61717,0.35992,0.90213,0.00042491,0.00042491,0.00042491
4,4340.11,0.8103,0.53683,1.05777,0.96412,0.97256,0.9887,0.8342,0.66053,0.32638,0.91467,0.000409955,0.000409955,0.000409955
5,5603.91,0.78129,0.50153,1.04272,0.98284,0.98038,0.99144,0.84508,0.63418,0.30652,0.90637,0.00039494,0.00039494,0.00039494
6,6680.94,0.75161,0.47494,1.02594,0.97916,0.98465,0.99342,0.87237,0.56195,0.29049,0.88038,0.000379925,0.000379925,0.000379925
7,7751.89,0.73546,0.45501,1.01685,0.97748,0.9866,0.99371,0.86056,0.61077,0.28866,0.89295,0.00036491,0.00036491,0.00036491
8,8822.16,0.71545,0.43813,1.00779,0.98036,0.98707,0.99324,0.9003,0.48637,0.2554,0.85491,0.000349895,0.000349895,0.000349895
9,9897.26,0.69857,0.42468,0.99848,0.98487,0.98262,0.99376,0.89024,0.52608,0.25461,0.86258,0.00033488,0.00033488,0.00033488
10,10965.6,0.68486,0.41211,0.98948,0.97725,0.99398,0.99386,0.89054,0.51567,0.25456,0.86408,0.000319865,0.000319865,0.000319865
11,12035.2,0.67538,0.40625,0.98547,0.99432,0.99189,0.99388,0.88934,0.53736,0.24415,0.86245,0.00030485,0.00030485,0.00030485
12,13108.7,0.66407,0.39712,0.97866,0.9907,0.99322,0.99396,0.89063,0.53262,0.24113,0.86196,0.000289835,0.000289835,0.000289835
13,14183,0.65618,0.39046,0.97586,0.99034,0.99091,0.99424,0.89341,0.53338,0.24194,0.85828,0.00027482,0.00027482,0.00027482
