epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,971.792,0.9842,1.0891,1.04815,0.91132,0.91725,0.95336,0.76562,0.75949,0.55678,0.91518,0.000151602,0.000151602,0.000151602
2,1964.86,0.88566,0.67693,1.04025,0.94558,0.96018,0.98428,0.834,0.61315,0.41946,0.87564,0.000293261,0.000293261,0.000293261
3,2872.93,0.8276,0.60264,1.01501,0.93588,0.96108,0.98152,0.82849,0.65004,0.40707,0.88494,0.00042491,0.00042491,0.00042491
4,3873.37,0.78899,0.55066,0.99692,0.97185,0.97888,0.99037,0.84474,0.60338,0.35095,0.86149,0.000409955,0.000409955,0.000409955
5,4808.54,0.75689,0.5121,0.98005,0.98481,0.9805,0.99106,0.86905,0.53864,0.31281,0.84964,0.00039494,0.00039494,0.00039494
6,5697.53,0.72713,0.48023,0.96993,0.98807,0.98164,0.99298,0.88459,0.50365,0.29504,0.836,0.000379925,0.000379925,0.000379925
7,6583.01,0.70953,0.45976,0.95954,0.97616,0.98492,0.99262,0.88941,0.50234,0.2948,0.82491,0.00036491,0.00036491,0.00036491
8,7469.22,0.68876,0.44283,0.95205,0.98838,0.99172,0.99403,0.8995,0.47937,0.26953,0.82502,0.000349895,0.000349895,0.000349895
9,8354.84,0.6719,0.42577,0.94315,0.98548,0.98371,0.9933,0.90685,0.44975,0.26098,0.82248,0.00033488,0.00033488,0.00033488
10,9241.69,0.65797,0.41582,0.93758,0.98895,0.99183,0.99403,0.91408,0.43696,0.2497,0.81454,0.000319865,0.000319865,0.000319865
11,10128.3,0.6491,0.40729,0.93484,0.98978,0.98605,0.9939,0.90687,0.44788,0.25094,0.81775,0.00030485,0.00030485,0.00030485
12,11012.3,0.64082,0.39743,0.92746,0.98686,0.98897,0.99408,0.91211,0.45005,0.24509,0.8191,0.000289835,0.000289835,0.000289835
13,11895.6,0.6284,0.38906,0.92265,0.99113,0.98808,0.99408,0.91905,0.43132,0.23585,0.81008,0.00027482,0.00027482,0.00027482
14,12781.2,0.61963,0.3836,0.91924,0.99112,0.98771,0.994,0.92674,0.39024,0.22608,0.8032,0.000259805,0.000259805,0.000259805
15,13666,0.61121,0.3747,0.91365,0.99094,0.99016,0.99428,0.92324,0.42059,0.22569,0.80346,0.00024479,0.00024479,0.00024479
16,14549.3,0.60431,0.36778,0.91154,0.99236,0.9892,0.99411,0.93153,0.39855,0.22063,0.8026,0.000229775,0.000229775,0.000229775
17,15435,0.59507,0.35799,0.90743,0.98806,0.99287,0.99431,0.93258,0.39886,0.21498,0.80211,0.00021476,0.00021476,0.00021476
18,16320.5,0.58726,0.35334,0.90354,0.99257,0.99611,0.99454,0.93727,0.39063,0.20842,0.79841,0.000199745,0.000199745,0.000199745
19,17205.4,0.57861,0.34753,0.90134,0.98949,0.99239,0.99445,0.94105,0.38095,0.20677,0.79691,0.00018473,0.00018473,0.00018473
20,18091.1,0.57635,0.34259,0.90052,0.99555,0.99095,0.9945,0.94587,0.36002,0.20021,0.79401,0.000169715,0.000169715,0.000169715
21,18971.2,0.42503,0.2375,0.83651,0.9951,0.99416,0.9946,0.94845,0.35457,0.19636,0.7936,0.0001547,0.0001547,0.0001547
22,19847.6,0.41218,0.23095,0.83061,0.99448,0.99587,0.9946,0.95289,0.34285,0.19194,0.79116,0.000139685,0.000139685,0.000139685
23,20723.8,0.40196,0.22473,0.82943,0.99487,0.99586,0.99461,0.95657,0.33319,0.18752,0.78904,0.00012467,0.00012467,0.00012467
24,21601,0.39582,0.22175,0.82533,0.99456,0.99542,0.99464,0.95678,0.32778,0.18475,0.78706,0.000109655,0.000109655,0.000109655
25,22478,0.38611,0.21455,0.82224,0.99578,0.99551,0.99465,0.95773,0.32228,0.18228,0.78607,9.464e-05,9.464e-05,9.464e-05
26,23354.9,0.37976,0.21022,0.81975,0.99568,0.99541,0.99467,0.96194,0.31586,0.17907,0.78445,7.9625e-05,7.9625e-05,7.9625e-05
27,24231.5,0.37257,0.20529,0.81819,0.9955,0.99605,0.99466,0.96247,0.31195,0.17572,0.78336,6.461e-05,6.461e-05,6.461e-05
28,25108.1,0.36574,0.1999,0.81653,0.99569,0.99517,0.99465,0.96155,0.31328,0.17649,0.78371,4.9595e-05,4.9595e-05,4.9595e-05
29,25982.2,0.36129,0.19698,0.8152,0.99562,0.996,0.99468,0.9621,0.31308,0.1742,0.7836,3.458e-05,3.458e-05,3.458e-05
30,26857.1,0.35465,0.19332,0.8135,0.99642,0.99364,0.99467,0.96435,0.30514,0.17123,0.78184,1.9565e-05,1.9565e-05,1.9565e-05
