epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2115.49,0.97671,0.95691,1.10396,0.92709,0.92576,0.96372,0.72428,0.95721,0.5018,1.06028,0.000151602,0.000151602,0.000151602
2,4214.42,0.8814,0.60467,1.0899,0.96546,0.97621,0.99156,0.83287,0.63942,0.34527,0.92902,0.000293261,0.000293261,0.000293261
3,6296.66,0.82828,0.54223,1.06575,0.97576,0.96516,0.99083,0.8362,0.64674,0.32939,0.94369,0.00042491,0.00042491,0.00042491
4,8392.76,0.78495,0.49764,1.0425,0.96661,0.98529,0.99274,0.83889,0.66669,0.32175,0.9361,0.000409955,0.000409955,0.000409955
5,10480,0.75215,0.46308,1.02555,0.98099,0.98706,0.99366,0.86216,0.59661,0.28235,0.90471,0.00039494,0.00039494,0.00039494
6,12546.9,0.71808,0.43788,1.00614,0.98807,0.98697,0.99341,0.87255,0.57614,0.27452,0.89857,0.000379925,0.000379925,0.000379925
7,14610.4,0.6991,0.41851,0.99625,0.98602,0.98643,0.99371,0.87116,0.58881,0.27794,0.90176,0.00036491,0.00036491,0.00036491
8,16677.7,0.67997,0.40407,0.98768,0.98561,0.99227,0.99415,0.90372,0.49264,0.24749,0.86635,0.000349895,0.000349895,0.000349895
9,18744.4,0.65891,0.38992,0.97443,0.98593,0.98842,0.99408,0.89849,0.52852,0.25101,0.87662,0.00033488,0.00033488,0.00033488
10,20825.3,0.64686,0.37949,0.96722,0.98992,0.99348,0.99441,0.90211,0.51538,0.23927,0.87423,0.000319865,0.000319865,0.000319865
11,22884.8,0.63669,0.37126,0.96197,0.98987,0.99549,0.99411,0.8901,0.5485,0.24422,0.87858,0.00030485,0.00030485,0.00030485
12,24943.1,0.62516,0.36436,0.95598,0.9863,0.99447,0.99427,0.89673,0.54099,0.24007,0.87942,0.000289835,0.000289835,0.000289835
13,27001.1,0.61435,0.35549,0.95312,0.99126,0.99383,0.99442,0.90153,0.52563,0.235,0.87317,0.00027482,0.00027482,0.00027482
14,29067.8,0.60421,0.3485,0.94529,0.99057,0.99421,0.99433,0.90809,0.50474,0.22679,0.86409,0.000259805,0.000259805,0.000259805
15,31130.2,0.59283,0.3397,0.94175,0.99246,0.99663,0.9946,0.91691,0.49303,0.21873,0.86172,0.00024479,0.00024479,0.00024479
16,33197.7,0.58542,0.33472,0.93912,0.9917,0.99537,0.9946,0.91217,0.48425,0.21512,0.85892,0.000229775,0.000229775,0.000229775
17,35257.1,0.57661,0.32827,0.93418,0.99461,0.99625,0.99456,0.92311,0.45741,0.20412,0.84825,0.00021476,0.00021476,0.00021476
18,37319.4,0.56699,0.32266,0.92783,0.99418,0.99428,0.99454,0.91886,0.46266,0.20791,0.849,0.000199745,0.000199745,0.000199745
19,39378.4,0.5596,0.31927,0.92449,0.99496,0.99277,0.99457,0.92341,0.47093,0.20232,0.85255,0.00018473,0.00018473,0.00018473
20,41440.1,0.55442,0.31324,0.92532,0.99096,0.99567,0.99461,0.91743,0.48317,0.20845,0.85437,0.000169715,0.000169715,0.000169715
21,43485.9,0.43388,0.22675,0.86361,0.99375,0.9957,0.99454,0.92759,0.44371,0.19686,0.8401,0.0001547,0.0001547,0.0001547
22,45533.5,0.42362,0.22153,0.85844,0.99591,0.99651,0.99464,0.93036,0.4425,0.19797,0.84101,0.000139685,0.000139685,0.000139685
