epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,669.69,0.57273,0.92662,0.89361,0.83992,0.86106,0.87917,0.79999,0.4078,0.53696,0.82619,0.00333191,0.00333191,0.00333191
2,1315,0.58305,0.58293,0.8832,0.90523,0.87813,0.92893,0.84053,0.43329,0.42357,0.83469,0.00653327,0.00653327,0.00653327
3,1960.19,0.62668,0.60236,0.89846,0.83816,0.84275,0.88812,0.79068,0.46564,0.54467,0.84713,0.00960264,0.00960264,0.00960264
4,2601.73,0.63696,0.60437,0.90397,0.90456,0.86663,0.92887,0.8306,0.46419,0.43734,0.84669,0.009406,0.009406,0.009406
5,3252.46,0.60086,0.53674,0.89584,0.90742,0.90517,0.94649,0.854,0.4228,0.40187,0.83458,0.009208,0.009208,0.009208
6,3890.86,0.56557,0.48092,0.88187,0.92804,0.92058,0.96368,0.87996,0.39114,0.35584,0.82577,0.00901,0.00901,0.00901
7,4529.8,0.54663,0.44386,0.87413,0.93444,0.94737,0.97378,0.89754,0.38011,0.30619,0.81677,0.008812,0.008812,0.008812
8,5323.19,0.52697,0.41639,0.86736,0.95416,0.94707,0.97956,0.9096,0.36656,0.28763,0.81742,0.008614,0.008614,0.008614
9,5963.91,0.51014,0.39468,0.86349,0.95708,0.95667,0.98129,0.91363,0.34743,0.27704,0.80852,0.008416,0.008416,0.008416
10,6604.28,0.49635,0.37871,0.85674,0.96368,0.96227,0.98405,0.92459,0.34567,0.25517,0.8058,0.008218,0.008218,0.008218
11,7242.54,0.48571,0.36434,0.854,0.97224,0.96714,0.98733,0.92683,0.33231,0.24575,0.80351,0.00802,0.00802,0.00802
12,7879.92,0.47298,0.34966,0.84976,0.98582,0.96102,0.98889,0.93108,0.3258,0.23205,0.80218,0.007822,0.007822,0.007822
13,8516.96,0.46284,0.33754,0.8465,0.98011,0.96952,0.98922,0.93473,0.32184,0.22488,0.80045,0.007624,0.007624,0.007624
14,9154.5,0.45291,0.32615,0.84209,0.98636,0.96837,0.99108,0.93601,0.31465,0.21088,0.79679,0.007426,0.007426,0.007426
15,9791.44,0.44701,0.31877,0.84205,0.98698,0.97784,0.99141,0.94214,0.30792,0.1997,0.7947,0.007228,0.007228,0.007228
16,10428,0.44215,0.31377,0.84041,0.98336,0.97532,0.99165,0.94444,0.30365,0.20404,0.79296,0.00703,0.00703,0.00703
17,11063.3,0.4331,0.30493,0.83686,0.98576,0.98162,0.99246,0.94704,0.29715,0.19036,0.7918,0.006832,0.006832,0.006832
18,11699.9,0.42824,0.29871,0.83519,0.9868,0.97338,0.99215,0.94722,0.29337,0.196,0.78925,0.006634,0.006634,0.006634
19,12335.3,0.42136,0.29312,0.83421,0.98791,0.98198,0.99277,0.94841,0.29151,0.18559,0.78931,0.006436,0.006436,0.006436
20,12975.2,0.41611,0.28674,0.83253,0.98202,0.98269,0.99281,0.94964,0.28942,0.18875,0.78808,0.006238,0.006238,0.006238
21,13610.8,0.40875,0.27941,0.83077,0.98454,0.98023,0.99249,0.95188,0.28105,0.18129,0.78762,0.00604,0.00604,0.00604
22,14246.4,0.40535,0.27707,0.82968,0.98805,0.98292,0.99326,0.95381,0.28015,0.17574,0.78706,0.005842,0.005842,0.005842
23,14882.4,0.40088,0.27086,0.8278,0.98325,0.98221,0.99363,0.95588,0.2714,0.17252,0.78512,0.005644,0.005644,0.005644
24,15519.2,0.39456,0.26621,0.82597,0.98921,0.98246,0.99365,0.95466,0.26907,0.16987,0.78382,0.005446,0.005446,0.005446
25,16154.8,0.3914,0.26113,0.82531,0.98356,0.98919,0.99399,0.95718,0.26855,0.16483,0.78456,0.005248,0.005248,0.005248
26,16794.6,0.3861,0.2575,0.82348,0.99204,0.98506,0.99402,0.95649,0.26752,0.16132,0.78382,0.00505,0.00505,0.00505
27,17431.7,0.38262,0.25376,0.82206,0.99007,0.98609,0.99399,0.95746,0.26455,0.15984,0.78327,0.004852,0.004852,0.004852
28,18069.9,0.37714,0.25004,0.82183,0.98772,0.98892,0.99398,0.95866,0.26285,0.15774,0.78182,0.004654,0.004654,0.004654
29,18707.1,0.3752,0.24574,0.82061,0.99241,0.98851,0.99399,0.95986,0.25883,0.15252,0.78144,0.004456,0.004456,0.004456
30,19344.3,0.36912,0.24248,0.81912,0.98689,0.99086,0.99421,0.96187,0.25709,0.15144,0.78108,0.004258,0.004258,0.004258
31,19984.2,0.3656,0.23854,0.81933,0.99191,0.98638,0.99417,0.9628,0.25456,0.14843,0.78052,0.00406,0.00406,0.00406
32,20628.6,0.36034,0.23375,0.81723,0.99365,0.98619,0.99437,0.96272,0.25411,0.14777,0.7799,0.003862,0.003862,0.003862
33,21282.8,0.35652,0.23105,0.81606,0.99251,0.9857,0.99418,0.96214,0.25253,0.14651,0.78018,0.003664,0.003664,0.003664
34,21930.4,0.35459,0.22834,0.81607,0.98749,0.99071,0.99413,0.96344,0.24953,0.14641,0.77972,0.003466,0.003466,0.003466
35,22584.5,0.34884,0.22398,0.81349,0.98942,0.98869,0.99419,0.96321,0.24861,0.14394,0.77934,0.003268,0.003268,0.003268
36,23245.2,0.34569,0.22057,0.81178,0.98835,0.99023,0.99416,0.96459,0.25001,0.14476,0.77975,0.00307,0.00307,0.00307
